Zone,Population,Scenario 1 (65% willing to evacuate) ,Scenario 1 divided by 24 hours,1 - Evacuate by bus (27%) = xb,buses needed for evac (60 ppl per bus),y (bus) = -0.0028xb + 30.991,fraction of max speed (y/30.991),travel time = free flow travel time (below)/fraction of speed,1 - Evacuate by car (57%) = xc,y (car) = -0.0028xc + 30.991,fraction of max speed (y/30.991),travel time = free flow travel time (below)/fraction of speed,1 - Evacuate by other (16%)
1,80879,52571,2190,591,10,29.335,0.9466,28.2,1249,27.49500523,0.8871932246,5.1,350
2,46692,30350,1265,341,6,30.035,0.9692,23.2,721,28.9727383,0.9348758769,6.3,202
3,30665,19932,831,224,4,30.363,0.9797,30.6,473,29.66550538,0.9572296917,5.9,133
4,60793,39515,1646,445,7,29.746,0.9598,22.9,938,28.36322258,0.9152083694,5.5,263
5,32185,20920,872,235,4,30.332,0.9787,17.4,497,29.59980338,0.9551096568,5,139
6,36185,23520,980,265,4,30.25,0.9761,30.7,559,29.42690338,0.9495306178,6.1,157
7,25908,16840,702,189,3,30.461,0.9829,40.7,400,29.8711267,0.9638645639,5.9,112
8,46399,30159,1257,339,6,30.041,0.9693,29.9,716,28.98540323,0.9352845415,13.4,201
9,38788,25212,1051,284,5,30.197,0.9744,19.5,599,29.3143887,0.9459000581,4,168
10,29693,19300,804,217,4,30.383,0.9804,19.4,458,29.70752008,0.9585853982,5.4,129
11,27530,17895,746,201,3,30.427,0.9818,27.5,425,29.80101575,0.9616022636,5.1,119
12,15883,10324,430,116,2,30.666,0.9895,24.3,245,30.30445733,0.9778470306,2.9,69
