Zone,Population,Scenario 2 (24% willing to evacuate),Scenario 2 divided by 24 hours,2 - Evacuate by bus (27%) = x,buses needed for evac (60 ppl per bus),y (bus) = -0.0028x + 30.991,fraction of max speed (y/30.991),travel time = free flow travel time (below)/fraction of speed,2 - Evacuate by car (57%),y (car) = -0.0028xc + 30.991,fraction of max speed (y/30.991),travel time = free flow travel time (below)/fraction of speed,2 - Evacuate by other (16%)
1,80879,19411,808.79,218.3733,4,30.38,0.9803,27.2,461.0103,29.70017116,0.9583482676,4.7,129.4064
2,46692,11206,466.92,126.0684,2,30.638,0.9886,22.8,266.1444,30.24579568,0.9759541699,6,74.7072
3,30665,7360,306.65,82.7955,1,30.759,0.9925,30.2,174.7905,30.5015866,0.9842078862,5.8,49.064
4,60793,14590,607.93,164.1411,3,30.531,0.9852,22.3,346.5201,30.02074372,0.968692321,5.2,97.2688
5,32185,7724,321.85,86.8995,1,30.748,0.9921,17.1,183.4545,30.4773274,0.9834251041,4.9,51.496
6,36185,8684,361.85,97.6995,2,30.717,0.9912,30.3,206.2545,30.4134874,0.9813651512,5.9,57.896
7,25908,6218,259.08,69.9516,1,30.795,0.9937,40.3,147.6756,30.57750832,0.9866576851,5.7,41.4528
8,46399,11136,463.99,125.2773,2,30.64,0.9887,29.3,264.4743,30.25047196,0.9761050615,12.8,74.2384
9,38788,9309,387.88,104.7276,2,30.698,0.9905,19.2,221.0916,30.37194352,0.9800246368,3.9,62.0608
10,29693,7126,296.93,80.1711,1,30.767,0.9928,19.1,169.2501,30.51709972,0.9847084547,5.2,47.5088
11,27530,6607,275.3,74.331,1,30.783,0.9933,27.2,156.921,30.5516212,0.9858223742,5,44.048
12,15883,3812,158.83,42.8841,1,30.871,0.9961,24.1,90.5331,30.73750732,0.9918204421,2.9,25.4128
