Zone,Population,Scenario 2 (24% willing to evacuate),Scenario 2 times % (36% for peak and 28% for non-peak),2 - Evacuate by bus (27%),buses needed for evac (60 ppl per bus),y (bus) = -0.0028xb + 30.991,fraction of max speed (y/30.991),travel time = free flow travel time (below)/fraction of speed,2 - Evacuate by car (57%),y (car) = -0.0028xc + 30.991,fraction of max speed (y/30.991),travel time = free flow travel time (below)/fraction of speed,2 - Evacuate by other (16%)
1 - Peak,80879,19410.96,6987.9456,1886.745312,31,25.708,0.8295,32.1,3983.128992,19.83823882,0.6401290317,7,1118.071296
1 - 10am-3pm,80879,19410.96,5435.0688,1467.468576,24,26.882,0.8674,30.7,3097.989216,22.3166302,0.720100358,6.2,869.611008
2 - Peak,46692,11206.08,4034.1888,1089.230976,18,27.941,0.9016,25,2299.487616,24.55243468,0.7922440281,7.4,645.470208
2 - 10am-3pm,46692,11206.08,3137.7024,847.179648,14,28.619,0.9235,24.4,1788.490368,25.98322697,0.8384120219,7,502.032384
3 - Peak,30665,7359.6,2649.456,715.35312,12,28.988,0.9354,32.1,1510.18992,26.76246822,0.8635561364,6.6,423.91296
3 - 10am-3pm,30665,7359.6,2060.688,556.38576,9,29.433,0.9497,31.6,1174.59216,27.70214195,0.893876995,6.3,329.71008
4 - Peak,60793,14590.32,5252.5152,1418.179104,24,27.02,0.8719,25.2,2993.933664,22.60798574,0.7295016534,6.9,840.402432
4 - 10am-3pm,60793,14590.32,4085.2896,1103.028192,18,27.903,0.9003,24.4,2328.615072,24.4708778,0.7896123971,6.4,653.646336
5 - Peak,32185,7724.4,2780.784,750.81168,13,28.889,0.9322,18.2,1585.04688,26.55286874,0.8567928991,5.6,444.92544
5 - 10am-3pm,32185,7724.4,2162.832,583.96464,10,29.356,0.9472,17.9,1232.81424,27.53912013,0.8886166993,5.4,346.05312
6 - Peak,36185,8684.4,3126.384,844.12368,14,28.627,0.9237,32.5,1782.03888,26.00129114,0.8389949061,7,500.22144
6 - 10am-3pm,36185,8684.4,2431.632,656.54064,11,29.153,0.9407,31.9,1386.03024,27.11011533,0.8747738159,6.7,389.06112
7 - Peak,25908,6217.92,2238.4512,604.381824,10,29.299,0.9454,42.3,1275.917184,27.41843188,0.8847223996,6.4,358.152192
7 - 10am-3pm,25908,6217.92,1741.0176,470.074752,8,29.675,0.9575,41.8,992.380032,28.21233591,0.9103396441,6.2,278.562816
8 - Peak,46399,11135.76,4008.8736,1082.395872,18,27.96,0.9022,32.1,2285.057952,24.59283773,0.7935477311,15.8,641.419776
8 - 10am-3pm,46399,11135.76,3118.0128,841.863456,14,28.634,0.9239,31.4,1777.267296,26.01465157,0.8394260131,14.9,498.882048
9 - Peak,38788,9309.12,3351.2832,904.846464,15,28.457,0.9182,20.7,1910.231424,25.64235201,0.8274128622,4.6,536.205312
9 - 10am-3pm,38788,9309.12,2606.5536,703.769472,12,29.02,0.9364,20.3,1485.735552,26.83094045,0.8657655595,4.4,417.048576
10 - Peak,29693,7126.32,2565.4752,692.678304,12,29.052,0.9374,20.3,1462.320864,26.89650158,0.8678810487,5.9,410.476032
10 - 10am-3pm,29693,7126.32,1995.3696,538.749792,9,29.483,0.9513,20,1137.360672,27.80639012,0.8972408157,5.7,319.259136
11 - Peak,27530,6607.2,2378.592,642.21984,11,29.193,0.942,28.7,1355.79744,27.19476717,0.8775053134,5.6,380.57472
11 - 10am-3pm,27530,6607.2,1850.016,499.50432,8,29.592,0.9549,28.3,1054.50912,28.03837446,0.9047263549,5.5,296.00256
12 - Peak,15883,3811.92,1372.2912,370.518624,6,29.954,0.9665,24.8,782.205984,28.80082324,0.9293286194,3.1,219.566592
12 - 10am-3pm,15883,3811.92,1067.3376,288.181152,5,30.184,0.974,24.6,608.382432,29.28752919,0.9450333707,3,170.774016
