Zone,Time Interval,Ratio based on Time Interval (graph),Population,Scenario 1 (65% willing to evacuate),Scenario 1 times Ratio,1 - Evacuate by bus (27%),buses needed for evac (60 ppl per bus),y (bus) = -0.0028xb + 30.991,fraction of max speed (y/30.991),travel time = free flow travel time (below)/fraction of speed,1 - Evacuate by car (57%),y (car) = -0.0028xc + 30.991,fraction of max speed (y/30.991),travel time = free flow travel time (below)/fraction of speed,1 - Evacuate by other (16%)
1,12-3am; 9pm-12am,0.07,80879,52571.35,3679.9945,994,17,28.20892416,0.9102295556,29.3,2098,25.11772878,0.8104846174,5.5,588.79912
1,3-6am; 6-9pm,0.21,80879,52571.35,11039.9835,2981,50,22.64477247,0.7306886668,36.5,6293,13.37118633,0.4314538522,10.4,1766.39736
1,6-9am; 3-6pm,0.42,80879,52571.35,22079.967,5962,99,14.29854495,0.4613773337,57.8,12586,-4.248627332,-0.1370922956,-32.8,3532.79472
1,9am-3pm,0.3,80879,52571.35,15771.405,4258,71,19.06781782,0.6152695241,43.3,8990,5.81983762,0.1877912175,23.9,2523.4248
2,12-3am; 9pm-12am,0.07,46692,30349.8,2124.486,574,10,29.38488858,0.9481749083,23.7,1211,27.60032034,0.8905914731,6.6,339.91776
2,3-6am; 6-9pm,0.21,46692,30349.8,6373.458,1721,29,26.17266575,0.844524725,26.6,3633,20.81896103,0.6717744194,8.8,1019.75328
2,6-9am; 3-6pm,0.42,46692,30349.8,12746.916,3442,57,21.3543315,0.68904945,32.7,7266,10.64692206,0.3435488388,17.1,2039.50656
2,9am-3pm,0.3,46692,30349.8,9104.94,2458,41,24.10766536,0.7778924643,28.9,5190,16.45951576,0.5311063134,11.1,1456.7904
3,12-3am; 9pm-12am,0.07,30665,19932.25,1395.2575,377,6,29.93618533,0.9659638389,31.1,795,28.76416903,0.928145882,6.1,223.2412
3,3-6am; 6-9pm,0.21,30665,19932.25,4185.7725,1130,19,27.82655599,0.8978915166,33.4,2386,24.31050709,0.7844376461,7.2,669.7236
3,6-9am; 3-6pm,0.42,30665,19932.25,8371.545,2260,38,24.66211198,0.7957830331,37.7,4772,17.63001418,0.5688752922,10,1339.4472
3,9am-3pm,0.3,30665,19932.25,5979.675,1615,27,26.4703657,0.854130738,35.1,3408,21.4474387,0.6920537801,8.2,956.748
4,12-3am; 9pm-12am,0.07,60793,39515.45,2766.0815,747,12,28.89984239,0.9325237129,23.6,1577,26.57633393,0.8575500605,5.9,442.57304
4,3-6am; 6-9pm,0.21,60793,39515.45,8298.2445,2241,37,24.71752716,0.7975711387,27.6,4730,17.74700178,0.5726501816,8.8,1327.71912
4,6-9am; 3-6pm,0.42,60793,39515.45,16596.489,4481,75,18.44405432,0.5951422773,37,9460,4.503003556,0.1453003632,34.6,2655.43824
4,9am-3pm,0.3,60793,39515.45,11854.635,3201,53,22.02889594,0.7108159124,31,6757,12.07100254,0.3895002594,12.9,1896.7416
5,12-3am; 9pm-12am,0.07,32185,20920.25,1464.4175,395,7,29.88390037,0.9642767374,17.6,835,28.65378967,0.9245842235,5.2,234.3068
5,3-6am; 6-9pm,0.21,32185,20920.25,4393.2525,1186,20,27.66970111,0.8928302123,19,2504,23.97936901,0.7737526705,6.2,702.9204
5,6-9am; 3-6pm,0.42,32185,20920.25,8786.505,2372,40,24.34840222,0.7856604246,21.6,5008,16.96773802,0.5475053409,8.8,1405.8408
5,9am-3pm,0.3,32185,20920.25,6276.075,1695,28,26.2462873,0.8469003033,20.1,3577,20.9743843,0.6767895292,7.1,1004.172
6,12-3am; 9pm-12am,0.07,36185,23520.25,1646.4175,445,7,29.74630837,0.9598369969,31.3,938,28.36331767,0.9152114378,6.4,263.4268
6,3-6am; 6-9pm,0.21,36185,23520.25,4939.2525,1334,22,27.25692511,0.8795109906,34.1,2815,23.10795301,0.7456343135,7.8,790.2804
6,6-9am; 3-6pm,0.42,36185,23520.25,9878.505,2667,44,23.52285022,0.7590219812,39.5,5631,15.22490602,0.491268627,11.9,1580.5608
6,9am-3pm,0.3,36185,23520.25,7056.075,1905,32,25.6566073,0.8278728437,36.2,4022,19.7295043,0.6366204479,9.2,1128.972
7,12-3am; 9pm-12am,0.07,25908,16840.2,1178.814,318,5,30.09981662,0.9712438003,41.2,672,29.10961286,0.9392924674,6,188.61024
7,3-6am; 6-9pm,0.21,25908,16840.2,3536.442,955,16,28.31744985,0.913731401,43.8,2016,25.34683857,0.8178774021,6.9,565.83072
7,6-9am; 3-6pm,0.42,25908,16840.2,7072.884,1910,32,25.6438997,0.827462802,48.3,4032,19.70267714,0.6357548042,8.9,1131.66144
7,9am-3pm,0.3,25908,16840.2,5052.06,1364,23,27.17164264,0.8767591443,45.6,2880,22.92791224,0.7398248601,7.7,808.3296
8,12-3am; 9pm-12am,0.07,46399,30159.35,2111.1545,570,10,29.3949672,0.9485001193,30.6,1203,27.62159742,0.8912780297,14.1,337.78472
8,3-6am; 6-9pm,0.21,46399,30159.35,6333.4635,1710,29,26.20290159,0.845500358,34.3,3610,20.88279225,0.6738340891,18.6,1013.35416
8,6-9am; 3-6pm,0.42,46399,30159.35,12666.927,3420,57,21.41480319,0.6910007159,42,7220,10.77458451,0.3476681781,36,2026.70832
8,9am-3pm,0.3,46399,30159.35,9047.805,2443,41,24.15085942,0.7792862257,37.2,5157,16.55070322,0.5340486987,23.4,1447.6488
9,12-3am; 9pm-12am,0.07,38788,25212.2,1764.854,477,8,29.65677038,0.9569478357,19.9,1006,28.17429302,0.9091120976,4.2,282.37664
9,3-6am; 6-9pm,0.21,38788,25212.2,5294.562,1430,24,26.98831113,0.8708435071,21.8,3018,22.54087905,0.7273362927,5.2,847.12992
9,6-9am; 3-6pm,0.42,38788,25212.2,10589.124,2859,48,22.98562226,0.7416870142,25.6,6036,14.0907581,0.4546725855,8.3,1694.25984
9,9am-3pm,0.3,38788,25212.2,7563.66,2042,34,25.27287304,0.8154907244,23.3,4311,18.91939864,0.6104804182,6.2,1210.1856
10,12-3am; 9pm-12am,0.07,29693,19300.45,1351.0315,365,6,29.96962019,0.9670426958,19.6,770,28.83475373,0.9304234689,5.5,216.16504
10,3-6am; 6-9pm,0.21,29693,19300.45,4053.0945,1094,18,27.92686056,0.9011280874,21.1,2310,24.52226118,0.7912704068,6.5,648.49512
10,6-9am; 3-6pm,0.42,29693,19300.45,8106.189,2189,36,24.86272112,0.8022561749,23.7,4621,18.05352236,0.5825408137,8.8,1296.99024
10,9am-3pm,0.3,29693,19300.45,5790.135,1563,26,26.61365794,0.8587544106,22.1,3300,21.74994454,0.7018148669,7.3,926.4216
11,12-3am; 9pm-12am,0.07,27530,17894.5,1252.615,338,6,30.04402306,0.9694434855,27.9,714,28.99182646,0.9354918028,5.3,200.4184
11,3-6am; 6-9pm,0.21,27530,17894.5,3757.845,1015,17,28.15006918,0.9083304566,29.7,2142,24.99347938,0.8064754083,6.1,601.2552
11,6-9am; 3-6pm,0.42,27530,17894.5,7515.69,2029,34,25.30913836,0.8166609132,33.1,4284,18.99595876,0.6129508167,8.1,1202.5104
11,9am-3pm,0.3,27530,17894.5,5368.35,1449,24,26.9325274,0.8690435094,31.1,3060,22.4231134,0.7235362976,6.8,858.936
12,12-3am; 9pm-12am,0.07,15883,10323.95,722.6765,195,3,30.44465657,0.9823709001,24.4,412,29.83760831,0.9627830114,3,115.62824
12,3-6am; 6-9pm,0.21,15883,10323.95,2168.0295,585,10,29.3519697,0.9471127004,25.3,1236,27.53082492,0.8883490342,3.2,346.88472
12,6-9am; 3-6pm,0.42,15883,10323.95,4336.059,1171,20,27.7129394,0.8942254008,26.8,2472,24.07064984,0.7766980683,3.7,693.76944
12,9am-3pm,0.3,15883,10323.95,3097.185,836,14,28.64952814,0.9244467149,26,1765,26.04789274,0.8404986202,3.4,495.5496
